"Distribution x_1","Distribution x_2","DGP","Model","Effect Size Scenario","Transition","Model Type","Coefficient (true)","Coefficient (mean)","Coefficient (lower)","Coefficient (upper)","Bias (mean)","Bias (lower)","Bias (upper)","Coverage (mean)","Coverage (lower)","Coverage (upper)"
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","STSS PAM","Medium","Progression Interaction","$x_1$-only Model",0,-0.0049486,-0.2016325,0.1692575,-0.0049486,-0.2016325,0.1692575,0.942,0.917761779106165,0.960816131202812
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","STSS PAM","Medium","Progression Interaction","Full Model",0,0.003982,-0.16874,0.1706525,0.003982,-0.16874,0.1706525,0.954,0.931774572118762,0.970619824607597
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","STSS PAM","Small","Onset","$x_1$-only Model",0.2,0.1980948,0.108665,0.2865525,-0.00190520000000001,-0.091335,0.0865525,0.956,0.934138999676405,0.972223232714428
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","STSS PAM","Small","Onset","Full Model",0.2,0.2006688,0.11109,0.2922675,0.000668799999999989,-0.08891,0.0922675,0.95,0.927072378349521,0.96738481985067
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","STSS PAM","Small","Progression","$x_1$-only Model",0.2,0.2015152,0.0243675,0.3705775,0.00151519999999999,-0.1756325,0.1705775,0.954,0.931774572118762,0.970619824607597
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","STSS PAM","Small","Progression","Full Model",0.2,0.2017004,0.01203,0.381835,0.00170039999999999,-0.18797,0.181835,0.93,0.903988908407367,0.950761355279621
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","STSS PAM","Small","Progression Interaction","$x_1$-only Model",0,0.0034202,-0.1935075,0.1974425,0.0034202,-0.1935075,0.1974425,0.946,0.922402531505063,0.964115740278066
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","STSS PAM","Small","Progression Interaction","Full Model",0,0.0010336,-0.2160325,0.19044,0.0010336,-0.2160325,0.19044,0.946,0.922402531505063,0.964115740278066
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","STSS PAM",NA,"Onset","$x_1$-only Model",1,0.7031496,0.4306475,0.937325,-0.0635170666666667,-0.177705,0.0501149999999999,0.591333333333333,0.565963865156069,0.616344462786159
"Bernoulli(0.5)","Bernoulli(0.5)","STSS DGP","STSS PAM",NA,"Onset","Full Model",1,0.765006733333333,0.432695,1.0555625,-0.00165993333333335,-0.085605,0.0814524999999999,0.944666666666667,0.931865005616502,0.955689586393507
